Code,GEO/TIME,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
DK0 ,DK0 - Danmark,5135409,5146469,5162126,5180614,5196642,5215718,5251027,5275121,5294860,5313577,5330020,5349212,5368354,5383507,5397640,5411405,5427459,5447084,5475791,5511451,5534738,5560628,5580516,5602628,5627235,5659715,5707251,5748769,5781190,5806081
DK01,DK01 - Hovedstaden,,,,,,,,,,,,,,,,,,1636749,1645825,1662285,1680271,1699387,1714589,1732068,1749405,1768125,1789174,1807404,1822659,1835562
DK02,DK02 - Sjælland,,,,,,,,,,,,,,,,,,816118,819427,821252,820564,819763,817907,816359,816726,820480,827499,832553,835024,836738
DK03,DK03 - Syddanmark,,,,,,,,,,,,,,,,,,1189817,1194659,1199667,1200277,1200656,1201342,1201419,1202509,1205728,1211770,1217224,1220763,1223348
DK04,DK04 - Midtjylland,,,,,,,,,,,,,,,,,,1227428,1237041,1247732,1253998,1260993,1266682,1272510,1277538,1282750,1293309,1304253,1313596,1320678
DK05,DK05 - Nordjylland,,,,,,,,,,,,,,,,,,576972,578839,580515,579628,579829,579996,580272,581057,582632,585499,587335,589148,589755
DE -,DE - Deutschland (bis 1990 früheres Gebiet der BRD),79103532,79753180,80274587,80974645,81338091,81538603,81817499,82012162,82057379,82037011,82163475,82259540,82440309,82536680,82531671,82500849,82437995,82314906,82217837,82002356,81802257,80222065,80327900,80523746,80767463,81197537,82175684,82521653,82792351,83019213
DE1 ,DE1 - Baden-Württemberg,9618706,9822049,10001843,10148709,10234033,10272069,10319367,10374505,10396610,10426040,10475932,10524415,10600906,10661320,10692556,10717419,10735701,10738753,10749755,10749506,10744921,10478505,10512441,10569111,10631278,10716644,10879618,10951893,11023425,11069533
DE11,DE11 - Stuttgart,3609977,3683101,3751156,3807445,3832123,3841565,3862311,3881961,3888668,3898171,3917305,3935352,3964162,3985000,3994612,4003172,4007373,4005380,4007095,4006313,4000848,3910637,3924922,3947568,3972881,4008288,4069533,4098278,4126688,4143418
DE12,DE12 - Karlsruhe,2484034,2532481,2577284,2612810,2636944,2645136,2644430,2656721,2660608,2666127,2676257,2684425,2701376,2716682,2722550,2727733,2732455,2734260,2739274,2740164,2740503,2663588,2671524,2686573,2702831,2721266,2761977,2779314,2795783,2805129
DE13,DE13 - Freiburg,1934781,1977860,2012896,2041044,2058645,2071050,2087042,2099757,2106615,2114486,2125364,2137625,2156851,2170481,2178813,2185027,2190727,2193178,2196410,2195681,2196018,2142723,2150906,2162340,2174500,2191622,2224535,2239734,2254674,2264469
DE14,DE14 - Tübingen,1589914,1628607,1660507,1687410,1706321,1714318,1725584,1736066,1740719,1747256,1757006,1767013,1778517,1789157,1796581,1801487,1805146,1805935,1806976,1807348,1807552,1761557,1765089,1772630,1781066,1795468,1823573,1834567,1846280,1856517
DE2 ,DE2 - Bayern,11220738,11448899,11595971,11770287,11863353,11921944,11993484,12043869,12066375,12086548,12154967,12230255,12329714,12387351,12423386,12443893,12468726,12492658,12520332,12519728,12510331,12383404,12443372,12519571,12604244,12691568,12843514,12930751,12997204,13076721
DE21,DE21 - Oberbayern,3721332,3801482,3848132,3919109,3948153,3959400,3978123,3991576,3991937,3996043,4033643,4083077,4138402,4169657,4195673,4211118,4238195,4279112,4313446,4335137,4346465,4313946,4363176,4415649,4469342,4519979,4588944,4633323,4649534,4686163
DE22,DE22 - Niederbayern,1057436,1078128,1092944,1109216,1120898,1131529,1143387,1151960,1158310,1162972,1170170,1176206,1185467,1191476,1194472,1196178,1196923,1193820,1194138,1191910,1189194,1172475,1175923,1181472,1189153,1197558,1212119,1219397,1230037,1238528
DE23,DE23 - Oberpfalz,991309,1009017,1020423,1032218,1040561,1047267,1054474,1060014,1064702,1069121,1074338,1079217,1085609,1088929,1089826,1090289,1089543,1087939,1086684,1083780,1081417,1071424,1072091,1074738,1077991,1082761,1092339,1098378,1104407,1109269
DE24,DE24 - Oberfranken,1055822,1074866,1083982,1094271,1100241,1104494,1110477,1113612,1113674,1113790,1114155,1113251,1113788,1112655,1109674,1106541,1101390,1094525,1088845,1082516,1076400,1065322,1061573,1058711,1056365,1055955,1059358,1062394,1066840,1067482
